reaction_id	enzyme_name	gene_family	ec_number	substrates	products	reaction_type	evidence_class	source_id	reference_status	active	canonical_reaction_id	model_status
BRXN_PET_HYD	Poly(ethylene terephthalate) hydrolase (PETase/PET hydrolase)	petase/PET-hydrolase	3.1.1.101	poly(ethylene terephthalate) + H2O	MHET-rich PET hydrolysate + TPA/oligomers	polymer_depolymerization	experimentally_characterized	SRC_PET_YOSHIDA_2016	active_target_BRT_PET_HYD	yes	BRXN_PET_HYD	ACTIVE
BRXN_MHET_HYD	Mono(2-hydroxyethyl) terephthalate hydrolase (MHETase)	mhetase/MHET-hydrolase	3.1.1.102	MHET + H2O	terephthalate + ethylene glycol	oligomer_hydrolysis	experimentally_characterized	SRC_PET_YOSHIDA_2016	active_target_BRT_MHET_HYD	yes	BRXN_MHET_HYD	ACTIVE
BRXN_TPA_DIOX	Terephthalate 1,2-dioxygenase (TPADO)	tphA1+tphA2+tphA3	1.14.12.15	terephthalate + NAD(P)H + O2	1,2-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate	metabolic	experimentally_characterized	SRC_TPA_E6_2006	active_target_BRT_TPA_DIOX	yes	BRXN_TPA_DIOX	ACTIVE
BRXN_TPA_DCD_DH	Terephthalate dihydrodiol (DCD) dehydrogenase	tphB	1.3.1.53	TPA dihydrodiol + NAD+	protocatechuate + CO2 + NADH	metabolic	experimentally_characterized	SRC_TPA_E6_2006	active_target_BRT_TPA_DCD_DH	yes	BRXN_TPA_DCD_DH	ACTIVE
BRXN_PCL_DEP	Poly(epsilon-caprolactone) depolymerase (PCL-active cutinase)	pcl-active cutinase	3.1.1.74	poly(epsilon-caprolactone) + H2O	6-hydroxyhexanoate-rich oligomers/monomer	polymer_depolymerization	experimentally_characterized	SRC_PCL_TFUSCA_2005	active_target_BRT_PCL_DEP	yes	BRXN_PCL_DEP	ACTIVE
BRXN_PBAT_DEP	Poly(butylene adipate-co-terephthalate) depolymerase (PBAT-active cutinase)	PBAT-active cutinase/polyester hydrolase	3.1.1.74	PBAT + H2O	TPA + adipate/butanediol-containing hydrolysate	polymer_depolymerization	experimentally_characterized	SRC_PBAT_TFCUT_2023	active_target_BRT_PBAT_DEP	yes	BRXN_PBAT_DEP	ACTIVE
BRXN_PU_DEP	Polyester polyurethane depolymerase / polyurethanase	PueA/PueB polyurethanase	3.1.1.-	polyester polyurethane + H2O	polyurethane hydrolysate	polymer_depolymerization	experimentally_characterized	SRC_PU_PF5_2016	annotation_target_BRT_PU_DEP	yes	BRXN_PU_DEP	ACTIVE_CONSERVATIVE
